parameter_name,Lens
analysis_id,6jld56968y22j85
gene_accession_id,MGI:95835
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.4250754
parameter_id,IMPC_EYE_016_001
gene_symbol,Hspa5
