analysis_id,91g3td01iymn773
parameter_id,IMPC_EYE_027_001
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_name,Persistence of hyaloid vascular system
pvalue,0.7179173
gene_symbol,Hspa5
mouse_life_stage,E12.5
