gene_symbol,Mapkap1
pvalue,0.9391647
mouse_strain,C57BL
analysis_id,k207qu9z60hg7jr
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
parameter_name,Shape of vertebrae
parameter_id,IMPC_XRY_018_001
