gene_symbol,Lime1
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
pvalue,0.7911341
parameter_name,Startle response
mouse_strain,C57BL
analysis_id,95gaylq61j84n93
parameter_id,ESLIM_008_001_013
