analysis_id,4zm1gi37x0zwr4v
pvalue,0.6007476
parameter_id,IMPC_CBC_010_001
gene_accession_id,MGI:1916222
parameter_name,Phosphorus
mouse_strain,C57BL
gene_symbol,Tatdn3
mouse_life_stage,Early adult
