analysis_id,tnmp7413664ku54
parameter_name,Lens
mouse_life_stage,Early adult
gene_symbol,Ift74
pvalue,0.582455
parameter_id,IMPC_EYE_016_001
gene_accession_id,MGI:1914944
mouse_strain,C57BL
