parameter_name,Center permanence time
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
analysis_id,9h2loo6o5vvnypw
gene_accession_id,MGI:2385156
pvalue,0.5433305
