analysis_id,3ev73c2n4sg69m4
parameter_id,IMPC_EYE_017_001
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Lens Opacity
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.5944051
