analysis_id,x67dpdaw4t2jgbh
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
pvalue,0.7532116
mouse_life_stage,Early adult
mouse_strain,C57BL
