analysis_id,dst7tfz244x4stg
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.9174147
parameter_id,MGP_IMM_131_001
gene_symbol,Cntfr
gene_accession_id,MGI:99605
parameter_name,CD103+ CD11b-low cDC - % of CD45+
