analysis_id,8406u6b14zdzl4r
gene_symbol,Bpifa3
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
gene_accession_id,MGI:1920638
parameter_id,MGP_IMM_020_001
pvalue,0.4405483
mouse_strain,C57BL
