analysis_id,6ugc120604f218b
parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
gene_accession_id,MGI:2444114
pvalue,0.4346722
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zcchc2
