analysis_id,k72202yniw5ai6y
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
parameter_id,MGP_IMM_073_001
gene_symbol,Lamb3
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
pvalue,0.7796952
