parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
gene_symbol,Pglyrp3
analysis_id,792h33ba1n28x55
gene_accession_id,MGI:2685266
pvalue,0.7046362
mouse_life_stage,Early adult
mouse_strain,C57BL
