parameter_name,B Cells
analysis_id,8wb2ez98afya4b5
gene_accession_id,MGI:1917810
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_063_001
pvalue,0.6783637
gene_symbol,Wars2
mouse_strain,C57BL
