gene_symbol,Trim46
pvalue,0.7597684
parameter_id,IMPC_EYE_007_001
analysis_id,93km7t2h50yi62d
mouse_strain,C57BL
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
parameter_name,Cornea
