parameter_name,Center resting time
gene_symbol,Frmpd1
pvalue,0.4638084
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
analysis_id,u5r3a7655305kjr
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
