mouse_strain,C3H
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,Haemoglobin
analysis_id,6vv8tgna696ydh9
pvalue,6.661793e-09
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_003
