parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.428107
gene_symbol,Casq1
analysis_id,1xc64zqs0b33558
parameter_name,Liver weight
gene_accession_id,MGI:1309468
