analysis_id,103j84675rd8k1n
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.08834268
gene_symbol,AU040320
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:2140475
