analysis_id,738v25w5380oiwm
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
gene_symbol,Snap23
parameter_name,Center average speed
pvalue,0.7525498
