parameter_id,HMGULA_CBC_010_001
gene_accession_id,MGI:99501
gene_symbol,Fgb
pvalue,0.4237986
mouse_strain,C57BL
parameter_name,Phosphorus
analysis_id,usxq41a6p1g9380
mouse_life_stage,Early adult
