gene_symbol,Trpa1
parameter_id,MGP_IMM_013_001
gene_accession_id,MGI:3522699
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_strain,C57BL
pvalue,0.5091901
mouse_life_stage,Early adult
analysis_id,283d7a8a3r17886
