gene_symbol,Pum1
mouse_strain,C57BL
analysis_id,8kjbt4u4sk75580
parameter_name,Hindlimbs - shape
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_021_001
pvalue,0.9713697
