mouse_life_stage,E15.5
pvalue,0.9838834
parameter_id,MGP_IMM_010_001
gene_symbol,Bmi1
gene_accession_id,MGI:88174
analysis_id,bb4er1a3215012u
parameter_name,Effector Treg cells - % of Treg
mouse_strain,C57BL
