gene_symbol,Prkcq
gene_accession_id,MGI:97601
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Mean right eye lens density
pvalue,0.4654825
parameter_id,IMPC_EYE_059_001
analysis_id,l645l8rcegw18w0
