analysis_id,7g32xnie5jw28x3
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
mouse_strain,C57BL
parameter_id,HMGULA_DYS_024_001
parameter_name,Vibrissae - appearance
mouse_life_stage,Early adult
pvalue,0.1883211
