analysis_id,92705930h98996c
gene_symbol,Ola1
parameter_id,IMPC_CSD_078_001
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
parameter_name,Vocalization
mouse_strain,C57BL
pvalue,0.8507696
