analysis_id,69zew9b4rm350wo
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.7120815
parameter_name,Forelimb grip strength measurement mean
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
parameter_id,IMPC_GRS_008_001
