analysis_id,v0pj1q8yfh0d4t0
mouse_life_stage,Early adult
parameter_name,Cue Baseline % Freezing Time
gene_accession_id,MGI:2444113
parameter_id,HRWLLA_FEA_015_001
pvalue,0.6174087
gene_symbol,Nemp2
mouse_strain,C57BL
