analysis_id,838u53h8k0urb8n
Parameter_id,MGP_PBI_032_001
Mouse_strain,C57BL
gene_accession_id,MGI:3045306
gene_symbol,Exd1
Pvalue,0.9935709
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
