parameter_name,Iron
gene_symbol,Trpa1
gene_accession_id,MGI:3522699
pvalue,0.4126466
parameter_id,IMPC_CBC_011_001
mouse_life_stage,Early adult
analysis_id,jv64x76l4m43k4r
mouse_strain,C57BL
