gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
analysis_id,yr1078x5dh83um5
mouse_life_stage,E12.5
pvalue,0.5822164
parameter_id,HRWLLA_GRS_010_001
parameter_name,Forelimb grip strength normalised against body weight
