gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
parameter_id,IMPC_GEO_048_002
pvalue,0.2231212
analysis_id,bfh9a871kb2cfw8
mouse_life_stage,Early adult
parameter_name,Anophthalmia
mouse_strain,C57BL
