gene_symbol,Rgs20
parameter_name,Calcium
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
analysis_id,x44xsnxf317r9l3
pvalue,0.7216945
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
