analysis_id,h7s9i394d3m6922
mouse_life_stage,E12.5
parameter_id,MGP_MLN_072_001
pvalue,0.9291961
gene_symbol,Fgb
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_name,KLRG1+ Treg cells - % of CD45+
