analysis_id,7xa16e3197r61b4
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.2585395
parameter_id,IMPC_GEO_009_002
mouse_strain,C57BL
parameter_name,Hemorrhage
mouse_life_stage,Early adult
