mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
pvalue,0.08377474
mouse_life_stage,Early adult
analysis_id,p93eask4cme2x78
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
parameter_name,Retina (combined)
