parameter_id,HRWLLA_CBC_014_001
pvalue,0.4006671
gene_accession_id,MGI:2684980
analysis_id,8kt0177e45c5pee
mouse_strain,129SV
gene_symbol,Mms22l
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
