gene_symbol,Dmap1
parameter_name,KLRG1+ Treg cells - % of Treg
mouse_life_stage,E12.5
pvalue,0.5813812
parameter_id,MGP_MLN_011_001
analysis_id,gx6kw5ycg7vf511
gene_accession_id,MGI:1913483
mouse_strain,C57BL
