parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
parameter_name,Snout morphology
analysis_id,4b6c34tsm599e18
pvalue,0.9201414
gene_symbol,Arpc2
mouse_strain,129SV
gene_accession_id,MGI:1923959
