analysis_id,86y41rlrpexje2w
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.9890059
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
parameter_name,Zygomatic bone
parameter_id,IMPC_XRY_002_001
