analysis_id,v7382438n4y2y6g
pvalue,0.431918
parameter_id,JAX_OFD_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
parameter_name,Center permanence time
mouse_strain,C57BL
gene_symbol,Rnf114
