parameter_name,Alanine aminotransferase
mouse_life_stage,Early adult
analysis_id,c82r200k137q198
pvalue,0.7278892
parameter_id,IMPC_CBC_013_001
mouse_strain,C57BL
gene_accession_id,MGI:1927232
gene_symbol,Rab13
