analysis_id,3vz70hk0221520u
parameter_id,MGP_CSD_025_001
gene_accession_id,MGI:1914944
mouse_strain,C57BL
pvalue,0.7278816
gene_symbol,Ift74
mouse_life_stage,Early adult
parameter_name,Ventral coat/hair presence
