gene_symbol,Golm2
mouse_life_stage,Early adult
parameter_name,Calcium
pvalue,0.8100341
gene_accession_id,MGI:2443129
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
analysis_id,c8e5vz6u685iz04
