parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
analysis_id,ecc6b878666o61j
pvalue,0.1169373
gene_accession_id,MGI:104640
parameter_name,Coat - color pattern - back
gene_symbol,Rab17
mouse_life_stage,Early adult
