parameter_name,Others
pvalue,0.7253686
mouse_strain,C57BL
gene_accession_id,MGI:1918345
gene_symbol,Kif24
analysis_id,h0b3re778732asj
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_006_001
