parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
analysis_id,m18a18a388zt4a9
pvalue,0.9874562
mouse_strain,C57BL
gene_accession_id,MGI:1913284
parameter_id,MGP_PBI_019_001
gene_symbol,Psmd14
