analysis_id,podke90346r889x
gene_accession_id,MGI:1929866
pvalue,0.2286151
parameter_name,Periphery average speed
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_013_001
gene_symbol,Rgs20
mouse_strain,C57BL
