gene_symbol,Hrnr
mouse_life_stage,Early adult
analysis_id,30o37n1x019qybd
parameter_id,MGP_IMM_013_001
parameter_name,Total CD8+ T cells - % of ab T cells
pvalue,0.9179688
mouse_strain,C57BL
gene_accession_id,MGI:3046938
