parameter_name,Red blood cell count
mouse_life_stage,Early adult
gene_symbol,Hspa5
analysis_id,2319c9kd807y3oe
parameter_id,ESLIM_016_001_002
gene_accession_id,MGI:95835
pvalue,0.1643779
mouse_strain,C57BL
