parameter_name,Neutrophil cell count
pvalue,0.1670908
mouse_strain,C57BL
gene_symbol,Trp53i11
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
parameter_id,IMPC_HEM_030_001
analysis_id,6l7s1w0cy440a7g
