analysis_id,11r3ut3oozm48mq
gene_symbol,Bach2
mouse_strain,C57BL
pvalue,0.1224705
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
parameter_id,JAX_LDT_002_001
parameter_name,Light side time spent
