parameter_name,Edema
gene_symbol,Morn5
mouse_strain,C57BL
analysis_id,1a460a4i61r7dxl
pvalue,0.3701279
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_064_001
