analysis_id,7v744efon5g1u90
parameter_id,JAX_OFD_012_001
parameter_name,Periphery permanence time
gene_accession_id,MGI:1916220
pvalue,0.2558348
mouse_strain,C57BL
gene_symbol,Dcaf12
mouse_life_stage,Early adult
