parameter_id,JAXLA_DXA_003_001
parameter_name,Lean mass
pvalue,0.7087292
analysis_id,2377u715523wu6t
mouse_strain,C57BL
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
mouse_life_stage,Early adult
