parameter_name,Tibia length
analysis_id,ut7406ipl6h6a16
parameter_id,TCPLA_XRY_033_001
gene_symbol,Ints7
pvalue,0.9133549
mouse_strain,C57BL
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
