analysis_id,667i06g1843z88z
parameter_id,ESLIM_007_001_015
gene_symbol,Arpc5l
parameter_name,Number of centre entries
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1921442
pvalue,0.3842563
