analysis_id,7x8g24z7b0v49l5
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_name,KLRG1+ NK cells - % of CD45+
parameter_id,MGP_MLN_093_001
mouse_life_stage,Middle aged adult
pvalue,0.3644124
gene_accession_id,MGI:2446186
