parameter_name,Midbrain
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
parameter_id,IMPC_GEL_029_001
mouse_strain,C57BL
analysis_id,19sz3x7wzhzi700
pvalue,0.8623972
