analysis_id,54245ok82x80072
pvalue,0.06832055
gene_accession_id,MGI:1914672
parameter_id,IMPC_IMM_064_001
parameter_name,B1B Cells
gene_symbol,Dhdds
mouse_life_stage,Early adult
mouse_strain,C57BL
