gene_symbol,Secisbp2l
parameter_name,Forelimb and hindlimb grip strength measurement mean
analysis_id,s8k73zd7fia12vt
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.7409335
gene_accession_id,MGI:1917604
parameter_id,IMPC_GRS_009_001
