gene_symbol,Kifap3
parameter_id,IMPC_XRY_067_001
analysis_id,2hv91f2ztdi7xoc
mouse_strain,C57BL
parameter_name,Caudal processes
mouse_life_stage,Early adult
pvalue,0.6573537
gene_accession_id,MGI:107566
